Report_ID,Incident_Type,Date,Location,Agency,Officer,Summary,Suspect_Description,Outcome,Source_Pages
RPT_016,Standard Operating Procedure,"January 13, 2015","PINE BLUFF, AR",Regulations of the Little Rock Police Department,Major Lafayette Woods,"OPERATIONS COMMANDER, Major Lafayette Woods, Jr. | ADMINISTRATIVE OFFICE: 870-541-5351 ¢ FAX 870-541-5348 | DUB BRASSELL DETENTION CENTER: 870-541-4620 | Mine Resistant Ambush Protected (MRAP) Vehicle | The Jefferson County Sheriff's Office obtained a Mine Resistant Ambush Protected (MRAP)",N/A,Training Completed,34-46
RPT_017,Policies and Procedures,,,,,"(1) The Headquarters Division Commander or in his absence, the | Section Commander, may approve requests for aircraft | service in cities contiguous to Little Rock. | (2) Requests should be limited to police emergencies and extended | car chases. A police emergency is defined as an on-going,",N/A,Approved,47-52
RPT_018,Vendor Capability Statement,"May 21, 2015","Receaw Bieter LITTLE ROCK, AR",Little Rock Police Department,,"Receaw Bieter LITTLE ROCK, ARKANSAS 72201-1329 (501) 371-4605 | Re: Mine Resistant Ambush Protected Vehicle | On July 1-2, 2014, the Little Rock Police Department hosted course specific training for the | Mine Resistant Ambush Protected (MRAP) Vehicle. This Department is in possession of two of | th",N/A,"Sincerely,

DAY AL Coieg
Wayne Bewley

Assistant Chief of Police
Field Services Bureau

LRPD is Internationally Accredit",53
RPT_019,Internal Memorandum,"June 17, 2014","Little Rock, Arkansas 72201",,Capt. Robertson,"The Department recently acquired two Mine Resistant Ambush Protected (MRAP) vehicles. The | operator training, which will train officers as operators and enable them to train other operators, | is scheduled for July 1* and 2™ at our Training Division. The training is a one-day 10-hr. course | that c",N/A,"1P Zor

nape Aah lo t72ary

Chata ¢ 2 al",54
RPT_020,Vendor Capability Statement,,"Bentonville, AR 72712",,,"My name is Paul Smith and I am the President of Smith Integrated Technology Services. Our company has | over ten years experience training Military, Law Enforcement, Border Patrol, and Homeland Security on | M.R.A.P. New Equipment Training (NET). Our team is made up of former professional military |",N/A,"SMITH INTEGRATED TECHNOLOGIES

2504 Huntwick Ave | Bentonville, AR 72712 | paul@smithit",55-56
RPT_021,Invoice,6/4/2014,"Little Rock, AR 72201",Little Rock Police Dept,Chief Executive Official,"Arkansas Law Enforcement Smith Integrated Technologies | State Wide Training Seminar 2504 SW Huntwick Ave | Little Rock, AR 72201 Bentonville, AR 72712 | Training services regarding the M.R.A.P. tactical vehicle complete with | classroom Power point presentation and professional driving applications",N/A,Approved,57-62
RPT_022,LEA Equipment Request,"February 19, 2015","Kaitou Buckiay LITTLE ROCK, AR",The Little Rock Police Department,Chief Executive Official,"LAW ENFORCEMENT AGENCY (LEA) AIRCRAFT REQUEST | ADDRESS (No P.O. Box);,700 W. MARKHAM STREET | zip; 12201 EMAIL: _ “tackett@littlerock.org | If something other than marked/stated above comes available, would you like to be offered it? | ****NOTE: The Aircraft justification letter, Safety Standards/T",N/A,Approved,63-66
RPT_023,Training Lesson Plan,,"Lonoke, AR 72086",Lonoke County Sheriff's Office,,"CLEST Continuing Education Course Mine Resistant Ambush | PREPARED BY: James Hall Certified Law Enforcement Instructor | METHOD OF PRESENTATION: INSTRUCTOR: James Hall | Lecture, Questions & Answers, Visual Presentation | LEARNING GOAL: The student will become familiar with the basic Operations of t",N/A,"440 Dee Dee Lane « Lonoke, AR 72086 e Office 501-676-3001 ¢ Fax 501-676-3017 * www",67
RPT_024,Policy/Correspondence,"December 17, 2014","Lonoke, AR 72086",Lonoke County Sheriff's Office,,"Lonoke County Sheriff's Office Mine Resistant Ambush | Primary Purpose: Special Response and Tactics / Operations | Completion of Basic MRAP Operations and / or equivalent training at | 440 Dee Dee Lane « Lonoke, AR 72086 e Office 501-676-3001 ¢ Fax 501-676-3017 * www.lonokeso.com | 685 North CR599 ",N/A,"e Use of Seatbelts

* Overhead obstacles such as risks of contact with overhead power lines",68-69
RPT_025,MRAP Policy Letter,"June 8, 2015","Little Rock, AR 72204",Pulaski County Sheriff's Office,Sheriff Doc Holladay,"2900 S. Woodrow St., Little Rock, AR 72204 | Mr. James Ray, Law Enforcement Support Office | As of 6/1/15, the Pulaski County Sheriff's Office (PCSO) has implemented a policy for the operation and | training of the Mine-Resistant Ambush Protected (MRAP) vehicle obtained from the Law Enforcement Supp",N/A,Policy Implemented,70
RPT_026,Training Certificate,16 March 2015,"Chief of Police ROGERS, AR 72758",The Rogers Police Department,,"The Rogers Police Department intends to only allow personnel with appropriate training to use, operate, | and maintain the MRAP assigned to the Rogers Police Department. Those designated personnel have already | attended Joint Program Office Mine Resistant Ambush Protected Vehicle training through S",N/A,Certificate Issued,71-73
RPT_027,Vendor Capability Statement,"June 1, 2015","SHERIFF EL DORADO, AR",Union County Sheriff's Office,Sheriff Mike Mc,Re: Mine Resistant Ambush Protected (MRAP) Vehicle | The Union County Sheriff's Office has implemented a policy for the operation and | training of the MRAP vehicle obtained through the LESO/1033 program. The purpose of this | vehicle is to be used by the Union County Sheriff's Office Special Respon,N/A,Policy Implemented,74-75
