Image_ID,Scene_Type,Objects_Detected,Text_Extracted,Fire_Detection_Confidence,Smoke_Detection_Confidence,Fire_Classification_Confidence,Scene_Decision_Confidence
3179d55d-0870-4950-89fb-68a9bcaa09a8_jpg.rf.acd9fd9faaeac70e0f48daa2486df374.jpg,Vehicle Fire,None,,1.0,0.841,0.84,0.92
36d2ad0a-6a14-4cf1-9038-9ae96f246064_jpg.rf.a062fccdcdfef1784d67f6273c4d84de.jpg,Other Fire,person,,1.0,0.856,0.786,1.0
39483c7c-d8fa-409e-bb4f-71276aa79863_jpg.rf.8745da590904520ccbe1e9f524966271.jpg,Vehicle Fire,person,,1.0,1.0,0.989,1.0
3a29e611-845c-4345-b5b0-812f1ed9d775_jpg.rf.a971cd32330bdb53137d520f5a5c1e2c.jpg,Other Fire,person,,1.0,0.89,0.503,1.0
3e9d7d86-a4c0-476b-960b-20dcfc4c18ea_jpg.rf.16b13d1953547c0e4c3ea101201ea7bf.jpg,Vehicle Fire,bus,,1.0,0.97,0.972,1.0
4083b6eb-280d-40d6-87a5-e44374849025_jpg.rf.a8e01c2dd7cb3ce3198361220a5c9e2d.jpg,Grass Fire,person,,1.0,0.908,0.966,1.0
42e5a63e-eb35-43fa-b038-9d2508ec7952_jpg.rf.b3a1d186db5bd085dc93fc0777035d73.jpg,Forest Fire,None,,1.0,0.892,0.523,0.946
44761986-0387-4a47-98f2-1326f3cb7cbf_jpg.rf.827394627ee988a1f2b02fb05c532f5f.jpg,Forest Fire,person,,1.0,0.873,0.707,1.0
454ba5de-9cc3-47dd-9414-f8b5374d9def_jpg.rf.767aa2a7128d801dd33b785354b0663b.jpg,HazMat Fire,None,,1.0,1.0,0.713,1.0
4a2f69ec-8ff2-4a6a-8d27-23d948777a38_jpg.rf.56c8c0252930f612be86c6c0c9db5cf6.jpg,Forest Fire,None,,1.0,0.98,0.957,0.99
4b59a04d-5c48-4583-8c58-58c380fc8129_jpg.rf.a84667ca1204f1ca4a9b71aa7b7583e8.jpg,Other Fire,None,,1.0,0.657,0.373,1.0
4daa1a23-5121-4e4e-bc10-860ca58f744c_jpg.rf.faeb82b9675a20890a1d30be0bddd58a.jpg,Other Fire,person,,1.0,0.985,0.588,0.992
5149e12c-3b94-43d3-859d-a72e19a8acbc_jpg.rf.1cd05173272168fe1dd11a637cbb2ab5.jpg,Other Fire,person,,1.0,0.88,0.486,1.0
5313180b-d474-4ca6-ae17-48c55bba0d4e_jpg.rf.a76dcd4564b1cbc5273852e4d838c92f.jpg,Forest Fire,None,,1.0,0.711,0.681,1.0
578ccdfa-0a6c-46af-ac72-3efcb9a8ba0d_jpg.rf.da0d798649612fcd63fbb958e9e772df.jpg,Smoke Only,person,,0.0,0.783,0.0,0.783
62ec9cc1-3440-4f53-bd7e-9cbccd836da2_jpg.rf.808f1b46a2cf61e58df6477519f9d8fa.jpg,Grass Fire,None,,1.0,0.898,0.432,1.0
64b2f6c9-c4e6-46f9-ab77-a3fe4893ae79_jpg.rf.6e6f6ea37c9e622771149769aa70cc4a.jpg,Vehicle Fire,car,,1.0,1.0,0.728,1.0
66f8c1d3-bcb2-44e1-bb9a-38e285809f08_jpg.rf.3014459d92019d4529c5b5d1886c5298.jpg,Vehicle Fire,"bus, car, person",,1.0,1.0,0.988,1.0
680c22f2-1748-461d-982f-42716ee44233_jpg.rf.9c860f69b3416da8e3efe11c431342ce.jpg,Structure Fire,None,,1.0,0.955,0.991,1.0
68ff94fa-3bfc-4782-a7a9-a033e5c50ea8_jpg.rf.0ecc0c895ecfd6d69a2fe665c0509c4b.jpg,Structure Fire,None,,1.0,1.0,0.862,1.0
6dfc3b2b-d727-43d9-9525-075da2e18190_jpg.rf.77f61be32f1a3b0c216884c313387cf5.jpg,Other Fire,person,,1.0,0.986,0.367,0.993
707d8bdf-ff17-49f9-886b-7e55bc7f8b2d_jpg.rf.7bf4092ffbf1b7fc448219891fdbec8f.jpg,Forest Fire,None,,1.0,0.887,0.406,1.0
70e9a135-d13e-4f7e-9f72-182b7de0f327_jpg.rf.cb2bc0b9d704f70845c62ba99cefc785.jpg,Other Fire,person,,1.0,0.868,0.437,1.0
71b41435-63de-4952-8432-9b0d7196114e_jpg.rf.8028f911195c7d20a7f28c9a7e035ef4.jpg,Other Fire,None,,0.998,0.797,0.423,0.898
724c4ec9-0509-4813-8158-7045cb2e5dfd_jpg.rf.71eb29d7fd30d988e353140dcb10aefb.jpg,Forest Fire,None,,1.0,1.0,0.533,1.0
758306f1-6fb4-4bff-8381-e49e519b9c07_jpg.rf.25bad85fbf4440f9a81284357881206e.jpg,Forest Fire,person,,1.0,0.908,0.431,1.0
76dba0e1-fc96-4263-99fb-642fe4ca2bb5_jpg.rf.7e2ed36e409330aa7da86aca4eb211a8.jpg,Vehicle Fire,"bus, car, person",,1.0,1.0,0.996,1.0
7915688f-612a-4bac-b950-9c21533fc699_jpg.rf.d4b84afaebe9b19460f2d7830168aff9.jpg,Other Fire,None,,1.0,0.947,0.605,0.974
7bf4a83c-df97-4fbc-b179-7dbb5a32f42b_jpg.rf.a400b839f3d090afdb122288244a9db6.jpg,Forest Fire,person,,1.0,0.775,0.712,0.888
816e8bf2-5b43-4016-a7f7-64964c8dc3aa_jpg.rf.a420fe878cbfb27dd57a832b257ea803.jpg,Structure Fire,None,,1.0,0.904,0.895,1.0
8679c62af3-lavvuliv_jpg.rf.3799698bbe06c12a0cfc61b47261b0ac.jpg,Other Fire,person,,1.0,1.0,0.897,1.0
870e465e-ea22-4b1f-9cb3-39a755137407_jpg.rf.16f5c39035bed0b15146fe16914a39b9.jpg,Structure Fire,None,,1.0,0.94,0.952,1.0
87939297-cb79-46ad-a27a-9da6381e0c02_jpg.rf.a9a1c783868283f59b78892b4a004a71.jpg,Smoke Only,car,,0.001,0.797,0.0,0.797
89dfe9c8-8958-448b-a6a0-278d2dc11385_jpg.rf.0d4167da8703488134f764457bac9726.jpg,Grass Fire,person,,1.0,0.966,0.35,0.983
8b65acc8-ef45-48b1-93d9-6836e1ed4b83_jpg.rf.5c5545c9a477bbbef7f1ef361f334958.jpg,Grass Fire,None,,1.0,0.913,0.835,0.957
8b77e362-93d5-44dc-9867-13ca98204f40_jpg.rf.38910ee728f3920d577ef7619f345da1.jpg,Structure Fire,None,,1.0,0.987,0.94,1.0
8bafde83-cea7-47ec-8174-4a344984e8df_jpg.rf.c1f338c5ab5115b65a3d4abfb56e60dd.jpg,Other Fire,person,,1.0,0.8,0.412,1.0
8c1ed8ee-f597-4a91-b7d4-8a33755df2f1_jpg.rf.75b653c798c27665fe3f73d5b50e0e6d.jpg,Structure Fire,None,,1.0,0.682,0.932,0.841
8c321db1-d800-4ef8-8568-f740e7681489_jpg.rf.e7b5aa5c8e6dc56164eb8663e8f94140.jpg,Vehicle Fire,train,,1.0,0.986,0.919,1.0
90420_Ritter_Fire_A_031_jpg.rf.8b5b6ffd9d637cd5a3760232d1323369.jpg,Structure Fire,None,,1.0,1.0,0.31,1.0
904cf64d-cfcb-4208-9ecb-3714a228ff07_jpg.rf.5cfa13467216d969643c398fe1e2fb04.jpg,Forest Fire,person,,1.0,0.751,0.701,0.876
913_0_jpg.rf.85307bf4bcd7994ec332a07d91ab58fa.jpg,Other Fire,None,"Watermark: ""a"" 23%",1.0,0.719,0.741,0.86
94660aae-d9a0-4150-847a-7d8dd45af622_jpg.rf.ebfc8829ad6fdce94874574f231f6ff2.jpg,HazMat Fire,None,,1.0,0.872,0.858,0.936
96dcfe85-e246-4c4d-b293-fa26058374af_jpg.rf.df1f80f2a5cdc9844e8709bda69674dd.jpg,Structure Fire,None,,1.0,0.66,0.442,1.0
9cc4584c-9259-4ce1-a19d-2ea2f24ef211_jpg.rf.9074b548e91ed7995a93dd3082416f1e.jpg,Vehicle Fire,person,,1.0,1.0,0.944,1.0
a0c87e0a-2bf1-4221-a5b0-e3b2eeb228b8_jpg.rf.2e72420ab23af71d837b2ae191638c2d.jpg,HazMat Fire,None,,1.0,0.908,0.899,1.0
a6114553-e868-492b-9a6e-f9c3e39459cf_jpg.rf.7559dd5bebf3a8e86a0f468a0925c752.jpg,Container / Trash Fire,person,,1.0,0.711,0.685,0.855
a9e2edc9-bf2f-4658-93e5-45a01714e686_jpg.rf.76219f775d60b560aa3af8131ee6eada.jpg,Forest Fire,None,,1.0,0.852,0.806,1.0
a9e7e453-ef3e-4ad6-8a7a-06d4c7441981_jpg.rf.7db4163ccce87225c0680edbf2628bfc.jpg,Forest Fire,None,,1.0,0.888,0.957,0.944
aadca7e8-bf65-47f7-a27a-0fcad36eab1a_jpg.rf.df3f3bce359b794050453728c69eef10.jpg,Grass Fire,None,,1.0,1.0,0.361,1.0
ab23bf1b-3e19-4b9e-807c-07b3cb542a70_jpg.rf.03ce88ef39929a25f733d0eea7d56cb6.jpg,Structure Fire,person,,1.0,0.939,0.433,1.0
aead8f44-d7a4-4a52-beaf-4e5cb7a8d973_jpg.rf.1422eee38f92fbc69c6efc34129d4c6f.jpg,Forest Fire,None,,1.0,1.0,0.588,1.0
b0770ffc-a425-4c67-89b0-e5db317ad9b9_jpg.rf.a456ee41ae5aeba15ee02b65cfb069fe.jpg,Vehicle Fire,"car, person, truck",,1.0,1.0,0.926,1.0
bab857cd-9a54-42b5-ae3d-2e250ae395f4_jpg.rf.8cbee5ae5b723ec290a9ae9e1ac2cfc0.jpg,Vehicle Fire,person,,1.0,1.0,0.733,1.0
bc82b948-d170-4907-b620-ee635f343fbb_jpg.rf.b1f1cf21657393f3a374275c7e7b6c68.jpg,Grass Fire,person,,1.0,0.905,0.554,0.952
bef2b18a-122f-4126-a90b-c01661dc0f11_jpg.rf.04f17129f53b198cf58450e64216d881.jpg,Grass Fire,None,,1.0,1.0,0.581,1.0
bf064c6a-5fbf-4b9e-8565-7f5db7f4558b_jpg.rf.f2b6dab350d9fefded31c4c81d4e2aa6.jpg,Forest Fire,None,,0.999,0.737,0.844,0.868
c217799f-4eef-4147-8680-b0fcb63f8a6b_jpg.rf.b3755434994f7ce17b846a0fdc3c7818.jpg,Container / Trash Fire,None,,1.0,0.975,0.532,1.0
c84deb15-cb70-4127-a9cd-1870dbefe97b_jpg.rf.842e627b18d0b6b76a9a171d9b97475b.jpg,Forest Fire,person,,1.0,0.889,0.58,1.0
c87f3cff-3d28-4693-9b77-2e45b3ec4ef3_jpg.rf.7add1dd9f12557fb54874cdef91965d9.jpg,Other Fire,person,,1.0,0.895,0.472,1.0
c996e9e4-27ad-4b3d-8807-c25c27bf8c35_jpg.rf.4e17b98d595e38e1cbf3fa7120512afa.jpg,Forest Fire,person,,1.0,0.87,0.982,1.0
cc563e00-2124-4ffa-b483-9222f8f73356_jpg.rf.9bfc3de00f43276fb40c93969da40a18.jpg,Forest Fire,None,,1.0,0.975,0.433,0.987
ccaa18bc-5b10-4c61-81ca-a77ccacbe82c_jpg.rf.b06899ff7b837ae60181e21655a78bf2.jpg,Structure Fire,None,,1.0,0.917,1.0,1.0
cd403fba-bc53-4cc5-9022-c83c9cb2975d_jpg.rf.979cbb0b222cb2d3efc3f35e30d2468a.jpg,Forest Fire,person,,1.0,0.702,0.638,0.851
cd441815-6423-4fff-bacc-a3f41dd7a336_jpg.rf.7d35c821b83e767b0ac899616f0808ff.jpg,Forest Fire,person,,0.998,0.963,0.747,0.998
d346222a-633f-418a-aa98-c5c90f1ab98b_jpg.rf.411c29ff573a8e0d40daa31760e672fa.jpg,Vehicle Fire,car,,1.0,1.0,0.964,1.0
d686d82a-2652-404c-b3b7-11a4bbb2f9a8_jpg.rf.a6025112231dbbb47d0e3585f42a9f9d.jpg,Grass Fire,None,,1.0,0.826,0.925,0.913
dc21b370-38f3-40b3-9aff-7a451f9c22a7_jpg.rf.836978fe6a112c40a6c7555a9df216cd.jpg,Forest Fire,None,,1.0,0.929,0.579,0.964
e02d21e7-a5a2-4489-9ec1-1cfe8ba7ca04_jpg.rf.d9ed02962100723e096e2923756cdadf.jpg,Forest Fire,None,,1.0,0.859,0.692,1.0
e089b361-f727-461d-9550-80c492243d6f_jpg.rf.4561201cbb3c5621458b375e5e9c8b9e.jpg,Other Fire,person,,1.0,0.972,0.424,1.0
e0a2dea1-c6ab-46e6-8f03-972f8b820db4_jpg.rf.adad57b60320874c45bca48fac07edd4.jpg,Vehicle Fire,"car, truck",,1.0,1.0,0.949,1.0
e11e5bb0-78aa-4dc2-823f-75443ab09af2_jpg.rf.20c0657da858bd3b5a07fe9c7d4e430c.jpg,Forest Fire,None,,0.999,1.0,0.852,0.999
e1d056da-b73f-4443-ab26-153bdb9a1b8e_jpg.rf.bea3857f9cec8168239b2adc0fb8dd38.jpg,Vehicle / Accident Scene,"boat, person",,0.003,0.916,0.0,0.003
e5a7f2a5-79ec-438b-b65c-02c27de105a4_jpg.rf.bd85dbc4632ab9cbf899946e0c969ebc.jpg,Vehicle Fire,car,,1.0,1.0,0.986,1.0
e6de565d-1df1-4500-9d7c-fe5dad8a7a20_jpg.rf.2ea4de21c5c65543f3ab02de3213b4a3.jpg,Smoke Only,None,,0.0,0.958,0.0,0.958
e9a393ea-4c13-4e0a-a7bb-ceddab3ce7d9_jpg.rf.24fb0ba82d25a1c27e653ad26beb86a9.jpg,HazMat Fire,None,,1.0,1.0,0.675,1.0
edc6cc18-a8c3-49ef-a296-e3c0d0d314a8_jpg.rf.2016259d11872dee8f1f390c464c5009.jpg,Grass Fire,person,,1.0,0.96,0.541,1.0
edeca927-6dfc-4e19-823f-9dc3fcd90de6_jpg.rf.5cc071426a98e8dcf83f51861cab3d3e.jpg,Vehicle Fire,"boat, truck","Watermark: ""ARVANA"" 17%",1.0,0.777,0.973,0.889
f8bb9f36-a7f8-43c1-97fa-d21f9f7836dc_jpg.rf.b2538ba9e503ff4592350e203f47f497.jpg,Vehicle Fire,"person, truck",,1.0,0.705,0.774,0.853
fc688d72-a2bc-4450-82b6-82ea05fe67a3_jpg.rf.c15bbffd67a11755a402d389f58f50c3.jpg,Vehicle Fire,"car, person",,1.0,1.0,0.953,1.0
fdc0826b-4762-4754-aa3f-2bf978f576fa_jpg.rf.3de26b9fae34a71695b8038c16e33e6e.jpg,Vehicle Fire,"person, truck",,1.0,0.949,0.682,1.0
fire001_jpg.rf.f9ebd3b343d68b67a356725a788ba27d.jpg,Structure Fire,person,,1.0,0.932,0.922,0.966
fire002_jpg.rf.e45fd5e914e864e83cb87548a4371330.jpg,HazMat Fire,person,,1.0,1.0,0.642,1.0
fire005_jpg.rf.04d1fa952b3ed21762aab6010f6eef0d.jpg,Structure Fire,person,,1.0,0.894,0.965,0.947
fire007_jpg.rf.7f64620e461dff49bb26b5d563cb9d8c.jpg,Structure Fire,None,,1.0,1.0,0.674,1.0
fire011_jpg.rf.9ebfe92db5f106d573c60c973491fe89.jpg,Other Fire,None,,1.0,0.844,0.817,0.922
fire013_jpg.rf.30083a2ca67569704bec9911a87055ba.jpg,Structure Fire,None,,1.0,0.959,0.985,0.979
fire020_jpg.rf.3fb947de456fcaaa8197ecb176442804.jpg,Vehicle Fire,bicycle,,1.0,0.917,0.961,1.0
fire034_jpg.rf.dd530535d0231fbd594b333a0c34673c.jpg,Vehicle Fire,None,,1.0,1.0,0.956,1.0
fire035_jpg.rf.bde1d39d9fcac393cfe3da26e03261aa.jpg,Structure Fire,person,,1.0,1.0,0.574,1.0
fire040_jpg.rf.81ccfc75cd2448cd551270154ad0670e.jpg,Vehicle Fire,person,,1.0,0.935,0.51,1.0
fire047_jpg.rf.2fc827c1c099fd2e6c58852202bf556c.jpg,Smoke Only,None,,0.0,0.751,0.0,0.751
fire048_jpg.rf.32c89b02c2529b4d94537e7adadee9e2.jpg,Smoke Only,person,,0.0,0.823,0.0,0.823
fire049_jpg.rf.d516ed7c14d8d54279d914d404267cfe.jpg,Container / Trash Fire,person,,1.0,0.696,0.769,0.848
fire059_jpg.rf.6b9912f403b7ceedfeae923da40d1e6c.jpg,Structure Fire,None,,1.0,0.802,0.631,0.901
fire060_jpg.rf.4ace44c4c1ad9d371a0b1fc6b2002928.jpg,Container / Trash Fire,None,,1.0,0.649,0.63,0.824
fire086_jpg.rf.8361a538ca27d6ab4049d6c77d2c5b52.jpg,Structure Fire,None,,1.0,0.98,0.988,0.99
fire092_jpg.rf.ad110f3dac381baadc38cfa4aa89b18c.jpg,Smoke Only,train,,0.0,0.712,0.0,0.712
fire093_jpg.rf.0ffb685d8107b85c89deae1052397cf3.jpg,Vehicle Fire,truck,,1.0,0.931,0.37,1.0
fire097_jpg.rf.5cab7dd242b37767057500ae56b5fc82.jpg,Container / Trash Fire,None,,1.0,0.973,0.488,1.0
fire116_jpg.rf.d805ae3cace82b25344f03b541745c34.jpg,Structure Fire,None,,1.0,1.0,0.996,1.0
fire118_jpg.rf.4763f909a0473cba55ad7457ea41c671.jpg,Vehicle Fire,car,,1.0,0.861,0.428,0.931
fire_jpg.rf.04a14827e3e796fcb229351a5a8c1669.jpg,Container / Trash Fire,None,,1.0,1.0,0.434,1.0
image_update_img_jpg.rf.654ae2b5d04cb8668e79e4f83e0a3562.jpg,Vehicle Fire,"bus, person",,1.0,0.907,0.793,1.0
img--12-_jpg.rf.7fa9f7b4be91cd6f084b9bdaa9f5e7f4.jpg,Vehicle Fire,"car, truck",,1.0,1.0,0.976,1.0
img--124-_jpg.rf.30467c621a6a1a23bec22045da7e35b7.jpg,Vehicle Fire,car,,1.0,0.871,0.73,0.935
img--134-_jpg.rf.ae5781862afea350a4f37914d1f264e1.jpg,Vehicle Fire,car,,1.0,1.0,0.971,1.0
img--147-_jpg.rf.8598423fdc124bc48f27901c0de6f516.jpg,Vehicle Fire,"car, truck",,1.0,1.0,0.968,1.0
img--2-_jpg.rf.033ec0febcdb0d11e41124132da94dce.jpg,Vehicle Fire,"car, person",,1.0,0.822,0.556,0.911
img--34-_jpg.rf.89851b4bec8af64aeb0bd40f54d6d4c0.jpg,Vehicle Fire,person,,1.0,1.0,0.924,1.0
img--40-_jpg.rf.5fdff084c22e749d814941af3394adf5.jpg,Vehicle Fire,boat,,1.0,1.0,0.901,1.0
img--52-_jpg.rf.8ad06b6fde45c2c6ce999af96cdd64ba.jpg,Smoke Only,"bus, car","Street Sign: ""me Oo"" 65%",0.0,1.0,0.0,1.0
img--56-_jpg.rf.dcda2421f08591c6921f641feb35a2e7.jpg,Container / Trash Fire,None,,1.0,0.888,0.588,0.944
img--65-_jpg.rf.298ea30971c4afb886d0f812d96248b9.jpg,Vehicle Fire,None,,1.0,1.0,0.678,1.0
img--72-_jpg.rf.c03ffeda3c5d380ff4cd0b72337a69a3.jpg,Vehicle Fire,bus,,1.0,1.0,0.996,1.0
img--80-_jpg.rf.c8574490b00281ea7535f05c6debb01d.jpg,Vehicle Fire,person,,1.0,0.975,0.894,0.988
img--91-_jpg.rf.b52d206cfe171e1d32e0580178096ca2.jpg,Vehicle Fire,None,,1.0,1.0,0.874,1.0
Living_Room_Camp_Fire_jpg.rf.ab7ccfa88549f4ca580d7c36d19e99d7.jpg,Other Fire,person,,1.0,0.93,0.669,0.965
maxresdefault6_jpg.rf.9a7b01fae439ab2dd82a1e4db85fc88c.jpg,Structure Fire,None,,1.0,1.0,0.917,1.0
maxresdefault_jpg.rf.c7553e1bc9664e4f971f2fe03c902a1d.jpg,Structure Fire,None,,1.0,0.927,0.84,0.964
mv11NWsbmdemo2_jpg.rf.13c3e7fb7dfbab39131a5c3296d3b606.jpg,Container / Trash Fire,None,,1.0,1.0,0.724,1.0
o-WASHINGTON-FIRE-900_jpg.rf.15844941f48f7ca8ea9abbef12c1045a.jpg,Forest Fire,None,,1.0,1.0,0.953,1.0
pic--118-_jpg.rf.bce42da1b73c33bab457d9662c99e0bc.jpg,Vehicle Fire,"bus, car",,1.0,0.915,0.709,1.0
pic--129-_jpg.rf.0a08aa745f2e36071bf625a357376c14.jpg,Container / Trash Fire,person,,1.0,0.877,0.672,1.0
pic--131-_jpg.rf.4b1d27eeaece43e6fc3d59925a5f2fd3.jpg,Smoke Only,person,,0.0,1.0,0.0,1.0
pic--132-_jpg.rf.64d9c3eeccd8312c4d88393e461e29e2.jpg,Vehicle Fire,"person, train",,1.0,1.0,0.941,1.0
pic--148-_jpg.rf.00dba2028ed85c1c8320444fa0b4c9da.jpg,Vehicle Fire,"person, train",,1.0,1.0,0.779,1.0
pic--150-_jpg.rf.a0aa5f183a4b6baea77f2d08bec434e9.jpg,Vehicle Fire,None,,1.0,1.0,0.985,1.0
pic--163-_jpg.rf.63d4d9360353ddadfe18b44bfc630b7d.jpg,Vehicle Fire,"car, train",,1.0,1.0,0.862,1.0
pic--171-_jpg.rf.7aa71208dce600b8cae2354d30b5dc7c.jpg,Structure Fire,person,,1.0,0.802,0.451,0.901
pic--172-_jpg.rf.c61b2e4e5f1f1fc755dae89d7827c61e.jpg,Vehicle Fire,person,,1.0,1.0,0.99,1.0
pic--175-_jpg.rf.f31ea15d401f809559c4ee72a52fb6bb.jpg,Vehicle Fire,"car, truck",,1.0,1.0,0.986,1.0
pic--176-_jpg.rf.9f58a9ff97cc6cf1343e7585310fcab5.jpg,Structure Fire,None,,1.0,1.0,0.979,1.0
pic--187-_jpg.rf.5a74df33863d1563d1d9318c0143493d.jpg,Vehicle Fire,None,,1.0,0.882,0.951,1.0
pic--203-_jpg.rf.143b3a6f4a0022bd55ea7b84193f3f63.jpg,Vehicle Fire,None,,1.0,1.0,0.974,1.0
pic--21-_jpg.rf.a2a06d71caaff62db13d0e93990298e5.jpg,Structure Fire,None,,1.0,0.981,0.985,0.99
pic--214-_jpg.rf.790360ef5464685a1ad8688e8aeba99b.jpg,Vehicle Fire,"bus, car",,1.0,1.0,0.997,1.0
pic--216-_jpg.rf.45778afe4b481a80bb761ac728156ed2.jpg,Vehicle Fire,car,,1.0,1.0,0.954,1.0
pic--49-_jpg.rf.1249bb9165361915ee848b44dc79b745.jpg,Structure Fire,None,,1.0,0.882,0.971,0.941
